"Year","Locationabbr","Locationdesc","Class","Topic","Question","Response","Break_Out","Break_Out_Category","Sample_Size","Data_value","Confidence_limit_Low","Confidence_limit_High","Display_order","Data_value_unit","Data_value_type","Data_Value_Footnote_Symbol","Data_Value_Footnote","DataSource","ClassId","TopicId","LocationID","BreakoutID","BreakOutCategoryID","QuestionID","ResponseID","GeoLocation"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","18-24","Age Group","35","14.9","9.1","20.7","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE01","CAT3","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","25-34","Age Group","88","22.8","17.1","28.5","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE02","CAT3","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","35-44","Age Group","80","12.2","8.8","15.7","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE03","CAT3","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","45-54","Age Group","94","18.9","13.8","24.0","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE04","CAT3","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","55-64","Age Group","117","15.1","11.3","18.9","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE05","CAT3","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","65+","Age Group","152","10.4","8.1","12.8","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE09","CAT3","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","College graduate","Education Attained","212","16.6","13.2","19.9","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","EDUCA4","CAT5","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","H.S. or G.E.D.","Education Attained","144","12.8","9.9","15.7","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","EDUCA2","CAT5","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Less than H.S.","Education Attained","41","23.2","14.6","31.7","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","EDUCA1","CAT5","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Some post-H.S.","Education Attained","167","16.2","12.8","19.6","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","EDUCA3","CAT5","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$15,000-$24,999","Household Income","75","28.2","20.2","36.1","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","INCOME2","CAT6","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$25,000-$34,999","Household Income","49","22.4","13.8","31.0","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","INCOME3","CAT6","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$35,000-$49,999","Household Income","67","17.3","12.1","22.6","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","INCOME4","CAT6","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","$50,000+","Household Income","235","12.1","9.7","14.5","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","INCOME5","CAT6","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Less than $15,000","Household Income","63","36.2","26.9","45.4","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","INCOME1","CAT6","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","566","15.9","14.0","17.8","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","BO1","CAT1","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","American Indian or Alaskan Native, non-Hispanic","Race/Ethnicity","81","12.7","8.5","16.8","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","RACE03","CAT4","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Asian, non-Hispanic","Race/Ethnicity","3",,,,"1","%","Crude Prevalence","*","Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.","BRFSS","CLASS03","TOPIC17","02","RACE04","CAT4","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Black, non-Hispanic","Race/Ethnicity","9",,,,"1","%","Crude Prevalence","*","Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.","BRFSS","CLASS03","TOPIC17","02","RACE02","CAT4","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Hispanic","Race/Ethnicity","26","23.7","13.5","33.9","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","RACE08","CAT4","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Multiracial, non-Hispanic","Race/Ethnicity","36","19.9","11.9","28.0","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","RACE07","CAT4","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Native Hawaiian or other Pacific Islander, non-Hispanic","Race/Ethnicity","5",,,,"1","%","Crude Prevalence","*","Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.","BRFSS","CLASS03","TOPIC17","02","RACE05","CAT4","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Other, non-Hispanic","Race/Ethnicity","7",,,,"1","%","Crude Prevalence","*","Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.","BRFSS","CLASS03","TOPIC17","02","RACE06","CAT4","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","White, non-Hispanic","Race/Ethnicity","399","16.6","14.4","18.9","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","RACE01","CAT4","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Female","Sex","392","23.0","19.9","26.1","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","SEX2","CAT2","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
"2020","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Male","Sex","174","9.4","7.4","11.5","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","SEX1","CAT2","ADDEPEV3","RESP046","    (64.84507995700051, -147.72205903599973)"
